b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ASCJ-100","The Changing World of Communication and Journalism","","2.0 units","Lecture","21909R","618","4:00-6:30pm","Tuesday","90","5","0","<a href="http://annenberg.usc.edu/Faculty/Communication%20and%20Journalism/CowanG.aspx">Geoffrey Cowan,</a>Ernest Wilson","ASC204"
"ASCJ-200","Navigating Media and News in the Digital Age","","4.0 units","Lecture","21910R","001","2:00-3:20pm","Tue, Thu","74","49","0","Cristina Visperas,<br />Laura Davis","ANN L105A"
"","","","","Lecture","21911D","001","2:00-3:20pm","Tue, Thu","74","2","0","Cristina Visperas,<br />Laura Davis","ANN L105A"
"","","","","Lab","21912R","001","9:00-10:20am","Tuesday","19","5","0","","ANN305"
"","","","","Lab","21913R","001","4:00-5:20pm","Thursday","19","4","0","","ANN209"
"","","","","Lab","21914R","001","12:30-1:50pm","Tuesday","19","16","0","","ANN405"
"","","","","Lab","21915R","001","4:00-5:20pm","Tuesday","18","9","0","","ANN408"
"","","","","Lab","21916R","001","9:00-10:20am","Thursday","18","0","0","","ANN305"
"","","","","Lab","21917R","001","11:00-12:20pm","Thursday","19","7","0","","ANN405"
"","","","","Lab","21918R","001","12:30-1:50pm","Thursday","19","10","0","","ANN405"
"","","","","Lab","21919R","001","4:00-5:20pm","Thursday","18","0","0","","ANN405"
"ASCJ-210","Contours of Change in Media and Communication","","4.0 units","Lecture","21920R","001","3:30-4:50pm","Tue, Thu","90","33","0","Robert Scheer","ANN L105A"
"","","","","Discussion","21921R","001","10:00-10:50am","Wednesday","25","9","0","","ANN L116"
"","","","","Discussion","21922R","001","11:00-11:50am","Wednesday","25","7","0","","ANN L116"
"","","","","Discussion","21923R","001","11:00-11:50am","Wednesday","25","3","0","","ANN305"
"","","","","Discussion","21924R","001","12:00-12:50pm","Wednesday","25","14","0","","ANN L116"
"ASCJ-420","Annenberg Collaboratory","","0.0-4.0 units, max 8"
"","The World of Podcasting","","4.0","Lecture","21930R","001","6:00-8:50pm","Monday","15","5","0","Willa Seidenberg","ANN409ABC"
'
