b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BUAD-101","Freshman Leadership Seminar","M","2.0 units","Lecture","14472D","001","10:00-11:50am","Friday","101","0","0","","JFF LL105"
"","","","","Lecture","14473D","001","10:00-11:50am","Friday","73","0","0","Gerald Giaquinta","HOH2"
"BUAD-200x","Economic Foundations for Business","","2.0 units","Lecture","14485R","001","8:00-9:50am","Tuesday","45","37","0","","JFF322"
"BUAD-201x","Introduction to Business for Non-Majors","","4.0 units","Lecture","14490R","001","6:00-9:20pm","Monday","48","31","0","","JFF239"
"BUAD-215x","Foundations of Business Finance","P","4.0 units","Lecture","14495R","001","8:00-9:50am","Mon, Wed","95","90","0","Nimfa Bemis","JFF LL125"
"","","","","Lecture","14496R","001","12:00-1:50pm","Mon, Wed","95","95","0","Nimfa Bemis","JFF LL125"
"BUAD-252","Choosing and Planning a Future Career in Business","","2.0 units","Lecture","14591R","001","6:00-7:50pm","Monday","48","41","0","David Bacci","ACC201"
"BUAD-280","Introduction to Financial Accounting","","3.0 units","Lecture","14505R","001","8:00-9:20am","Mon, Wed","50","9","0","Merle Hopkins","JFF233"
"","","","","Lecture","14506R","001","9:30-10:50am","Mon, Wed","50","48","0","Merle Hopkins","JFF233"
"","","","","Lecture","14507R","001","9:30-10:50am","Tue, Thu","50","50","0","Julie Suh","JFF233"
"","","","","Lecture","14508R","001","11:00-12:20pm","Mon, Wed","50","50","0","Merle Hopkins","JFF233"
"","","","","Lecture","14509R","001","2:00-3:20pm","Tue, Thu","50","17","0","","JFF233"
"","","","","Lecture","14510R","001","12:30-1:50pm","Mon, Wed","50","50","0","","JFF233"
"","","","","Lecture","14511R","001","12:30-1:50pm","Tue, Thu","50","50","0","","JFF233"
"","","","","Lecture","14512R","001","2:00-3:20pm","Mon, Wed","50","42","0","Eric Allen","JFF233"
"","","","","Lecture","14514R","001","3:30-4:50pm","Mon, Wed","50","20","0","Eric Allen","JFF233"
"","","","","Lecture","14515R","001","11:00-12:20pm","Tue, Thu","50","50","0","Julie Suh","JFF233"
"","","","","Lecture","14516R","001","4:00-5:20pm","Mon, Wed","45","6","0","","ACC310"
"","","","","Lecture","14513R","001","3:30-4:50pm","Tue, Thu","50","3","0","","JFF233"
"BUAD-281","Introduction to Managerial Accounting","P","3.0 units","Lecture","14520R","001","8:00-9:20am","Tue, Thu","43","13","0","George Braunegg","ACC201"
"","","","","Lecture","14521R","001","8:00-9:20am","Mon, Wed","43","43","0","","JFF239"
"","","","","Lecture","14522R","001","9:30-10:50am","Tue, Thu","43","43","0","George Braunegg","ACC201"
"","","","","Lecture","14523R","001","12:30-1:50pm","Mon, Wed","43","43","0","","JFF416"
"","","","","Lecture","14524R","001","11:00-12:20pm","Tue, Thu","43","43","0","","ACC201"
"","","","","Lecture","14525R","001","2:00-3:20pm","Mon, Wed","43","43","0","David Tsui","ACC201"
"","","","","Lecture","14526R","001","12:30-1:50pm","Tue, Thu","43","43","0","","JFF239"
"","","","","Lecture","14527R","001","3:30-4:50pm","Mon, Wed","43","43","0","Rose Layton","ACC201"
"","","","","Lecture","14528R","001","2:00-3:20pm","Tue, Thu","43","43","0","","ACC310"
"","","","","Lecture","14530R","001","3:30-4:50pm","Tue, Thu","43","43","0","","ACC310"
"","","","","Lecture","14531R","001","12:30-1:50pm","Mon, Wed","43","43","0","David Tsui","ACC310"
"BUAD-301","Technology Entrepreneurship","","3.0 units","Lecture","14641R","001","6:00-8:50pm","Tuesday","60","42","0","Greg Autry","JFF414"
"","","","","Lecture","14642R","001","6:00-8:50pm","Wednesday","48","25","0","Greg Autry","JFF316"
"BUAD-302","Communication Strategy in Business","","4.0 units","Lecture","14646R","001","8:00-9:50am","Mon, Wed","31","31","0","","JFF327"
"","","","","Lecture","14650R","001","10:00-11:50am","Mon, Wed","31","31","0","","JFF327"
"","","","","Lecture","14652R","001","10:00-11:50am","Mon, Wed","31","31","0","","JFF331"
